Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MFC,21.3,2021/04/23,16:00 EDT,0.29999924,21.05,21.3399,20.975,3351377,,,,,,,
POW.TO,34.86,2021/04/23,16:00 EDT,0.26000214,34.6,35.01,34.455,1529305,,,,,,,
SFT,7.45,2021/04/23,16:00 EDT,0.30999994,7.1,7.47,7.08,779094,,,,,,,
ABNB,174.25,2021/04/23,16:00 EDT,3.5399933,172.919,178.25,172.01,3334928,,,,,,,
WMT,139.9,2021/04/23,16:00 EDT,0.229996,139.1,140.342,139.03,7661332,,,,,,,
AMD,82.76,2021/04/23,16:00 EDT,3.7000046,80.21,83.3,79.96,49267281,,,,,,,
SNPS,251.45,2021/04/23,16:00 EDT,3.2399902,249.11,252.24,248.6513,632715,,,,,,,
TCEHY,81.8,2021/04/23,16:00 EDT,0.91000366,81.225,82.28,81.15,1603586,,,,,,,
TWTR,67.02,2021/04/23,16:03 EDT,2.709999,65.72,67.13,65.43,12406034,,,,,,,
NTLA,78.29,2021/04/23,16:00 EDT,3.6900024,75.76,79.43,74.68,904046,,,,,,,
TXG,193.95,2021/04/23,16:00 EDT,2.1399994,191.63,195.39,188.02,490548,,,,,,,
NVTA,36.8,2021/04/23,16:00 EDT,0.84000015,36.06,36.95,35.34,1925683,,,,,,,
CRSP,126.55,2021/04/23,16:00 EDT,0.66000366,125.5,128.42,123.6,1097455,,,,,,,
EXAS,133.96,2021/04/23,16:00 EDT,3.9900055,130.39,134.4,129.645,636726,,,,,,,
TWLO,384.64,2021/04/23,16:00 EDT,10.870026,381.79,387.71,378.705,1242058,,,,,,,
BIDU,220.94,2021/04/23,16:00 EDT,6.380005,218.5,222.6799,217.29,5327806,,,,,,,
SPOT,284.11,2021/04/23,16:00 EDT,18.949982,268.0,286.2899,267.86,2238995,,,,,,,
ZM,336.88,2021/04/23,16:00 EDT,8.559998,331.49,338.55,328.26,2363185,,,,,,,
ROKU,356.87,2021/04/23,16:00 EDT,6.8099976,355.46,357.6,347.66,1927981,,,,,,,
DOCU,224.84,2021/04/23,16:00 EDT,3.149994,222.85,226.88,222.695,1432234,,,,,,,
UI,288.87,2021/04/23,16:00 EDT,9.070007,284.19,289.285,280.55,69835,,,,,,,
W,308.18,2021/04/23,16:00 EDT,0.41000366,310.06,311.232,299.395,1048663,,,,,,,
T,31.4,2021/04/23,16:04 EDT,0.03999901,31.48,31.71,31.4,40346155,,,,,,,
TGT,206.01,2021/04/23,16:02 EDT,0.43998718,205.94,206.8,203.9231,2250814,,,,,,,
SPG,116.92,2021/04/23,16:00 EDT,1.27,116.31,117.12,115.41,2349546,,,,,,,
JPM,150.19,2021/04/23,16:00 EDT,2.82001,147.18,151.13,146.685,14043086,,,,,,,
RDFN,65.64,2021/04/23,16:00 EDT,1.7399979,64.59,66.42,64.0,939086,,,,,,,
GOOGL,2299.93,2021/04/23,16:00 EDT,47.409912,2267.0,2305.78,2261.25,1455554,,,,,,,
GOOG,2315.3,2021/04/23,16:00 EDT,47.380127,2283.47,2325.82,2278.21,1392816,,,,,,,
Z,137.0,2021/04/23,16:00 EDT,4.529999,132.93,137.6825,132.93,2238033,,,,,,,
GBTC,42.385,2021/04/23,15:59 EDT,1.0649986,38.8,42.95,38.51,13688486,,,,,,,
MARA,32.3,2021/04/23,16:00 EDT,1.2399998,29.09,32.71,28.36,21943958,,,,,,,
HIVE.V,3.55,2021/04/23,15:59 EDT,-0.08000016,3.3,3.57,3.23,4587777,,,,,,,
COIN,291.6,2021/04/23,16:00 EDT,-1.8500061,282.75,303.0,282.07,9742052,,,,,,,
GLXY.TO,32.7,2021/04/23,16:00 EDT,1.1800003,29.24,33.48,28.24,1033018,,,,,,,
XRP-CAD,1.4046434,2021/04/24,08:29 BST,0.115890265,1.4458976,1.4458976,1.3716986,16410554368,,,,,,,
BTBT,13.16,2021/04/23,16:00 EDT,0.26000023,12.28,13.43,12.2501,1318971,,,,,,,
AMC,10.16,2021/04/23,16:00 EDT,0.17000008,10.09,10.38,9.96,27164801,,,,,,,
XLM-CAD,0.54431504,2021/04/24,08:29 BST,0.046064585,0.56129825,0.5741133,0.54115176,2318584576,,,,,,,
AZFL,0.0046,2021/04/23,15:59 EDT,-9.999983E-5,0.0047,0.0048,0.0043,140976228,,,,,,,
DNN,0.9954,2021/04/23,16:00 EDT,-0.00440001,1.0,1.03,0.9825,7663197,,,,,,,
EOS-CAD,6.6572886,2021/04/24,08:29 BST,0.3396721,6.892295,6.892295,6.536068,3918012928,,,,,,,
VPER,0.01705,2021/04/23,15:59 EDT,-6.0000084E-4,0.0185,0.0188,0.0168,48594375,,,,,,,
BB,8.85,2021/04/23,16:00 EDT,0.21000004,8.66,8.88,8.59,5380855,,,,,,,
SAIIW,1.87,2021/04/23,15:58 EDT,0.029999971,1.9,1.9,1.74,68495,,,,,,,
GM,57.53,2021/04/23,16:00 EDT,0.86999893,56.77,57.7382,56.43,10802445,,,,,,,
TDC,52.18,2021/04/23,16:00 EDT,1.6800003,50.43,52.81,49.55,3859577,,,,,,,
TSLA,729.4,2021/04/23,16:00 EDT,9.710022,719.8,737.359,715.46,28413789,,,,,,,
MGM,41.51,2021/04/23,16:00 EDT,0.759998,41.05,41.5499,40.84,4219034,,,,,,,
EXPR,3.15,2021/04/23,16:00 EDT,0.0,3.17,3.2,3.0862,1607484,,,,,,,
KMPH,9.17,2021/04/23,16:00 EDT,0.119999886,9.08,9.35,8.9001,684614,,,,,,,
CGX.TO,12.46,2021/04/23,16:00 EDT,0.09000015,12.39,12.53,12.17,251669,,,,,,,
WBA,53.02,2021/04/23,16:00 EDT,0.43999863,52.88,53.26,52.33,4250145,,,,,,,
FRPT,172.69,2021/04/23,16:00 EDT,0.91000366,172.58,174.226,169.5,193151,,,,,,,
AQN.TO,20.18,2021/04/23,16:00 EDT,-0.26000023,20.5,20.5,20.16,1389119,,,,,,,
STLC.TO,30.36,2021/04/23,16:00 EDT,0.3600006,30.25,30.51,29.88,168233,,,,,,,
LXXGF,0.5555,2021/04/23,15:59 EDT,-0.014500022,0.619,0.619,0.5432,250452,,,,,,,
NEPT.TO,1.58,2021/04/23,16:00 EDT,0.0,1.56,1.61,1.55,113721,,,,,,,
SAIIU,10.76,2021/04/23,15:59 EDT,0.2300005,10.75,10.76,10.75,2501,,,,,,,
FB,301.13,2021/04/23,16:00 EDT,4.610016,298.76,302.59,297.16,17559498,,,,,,,
LAZR,22.18,2021/04/23,16:00 EDT,3.3899994,18.87,22.5,18.845,11344339,,,,,,,
DAL,45.8,2021/04/23,16:00 EDT,1.15,44.81,45.94,44.45,9179962,,,,,,,
FORD,2.71,2021/04/23,16:00 EDT,-0.00999999,2.72,2.75,2.67,70828,,,,,,,
BFLY,14.3,2021/04/23,16:00 EDT,0.65999985,13.89,14.36,13.78,1633056,,,,,,,
MSFT,261.15,2021/04/23,16:00 EDT,3.9799805,257.88,261.51,257.27,20123307,,,,,,,
AC.TO,25.07,2021/04/23,16:00 EDT,0.37999916,24.77,25.19,24.6,2922306,,,,,,,
BA,238.38,2021/04/23,16:00 EDT,4.05,233.89,238.5799,233.15,11553322,,,,,,,
AMZN,3340.88,2021/04/23,16:00 EDT,31.839844,3319.1,3375.0,3308.5,3196652,,,,,,,
AAPL,134.32,2021/04/23,16:00 EDT,2.380005,132.16,135.12,132.17,75411603,20210420,133.8,30.0,,,,
ALGO-CAD,1.414995,2021/04/24,08:29 BST,0.099583864,1.450563,1.4588087,1.3835241,402450080,,,,,,,
PLTR,23.41,2021/04/23,16:00 EDT,0.54999924,22.89,23.55,22.74,31805166,,,,,,,
BEP,40.87,2021/04/23,16:00 EDT,0.5999985,40.19,40.96,40.19,128578,,,,,,,
VNTR,4.69,2021/04/23,16:00 EDT,0.09000015,4.64,4.7112,4.6,113100,,,,,,,
BBY,117.74,2021/04/23,16:00 EDT,-0.300003,118.17,118.31,116.55,1547803,,,,,,,
NKE,130.19,2021/04/23,16:00 EDT,1.01001,128.93,130.64,128.4604,7489517,,,,,,,
ADBE,515.84,2021/04/23,16:00 EDT,8.550018,508.79,517.4973,508.395,2009385,,,,,,,
PG,133.94,2021/04/23,16:02 EDT,-0.69000244,134.93,135.08,133.25,6707791,,,,,,,
CHKP,119.8,2021/04/23,16:00 EDT,-0.13999939,120.22,121.92,119.37,1797158,,,,,,,
BRK-B,271.98,2021/04/23,16:02 EDT,2.4700012,269.86,272.6906,269.56,3677526,,,,,,,
REGN,488.64,2021/04/23,16:00 EDT,-1.789978,488.63,491.49,484.1505,820064,,,,,,,
COST,373.28,2021/04/23,16:00 EDT,2.019989,371.26,374.83,370.5024,1404929,,,,,,,
VOO,383.03,2021/04/23,16:00 EDT,4.04001,379.57,384.455,379.47,3783209,,,,,,,
SPY,416.74,2021/04/23,16:00 EDT,4.47,412.87,418.25,412.79,73275841,,,,,,,
ADSK,295.27,2021/04/23,16:00 EDT,7.269989,289.47,296.55,289.12,1004979,,,,,,,
AAL,21.11,2021/04/23,16:00 EDT,1.0400009,20.27,21.2,20.18,48123875,,,,,,,
LOGI,117.0,2021/04/23,16:00 EDT,2.7399979,116.04,117.135,115.45,517400,,,,,,,
MFI.TO,28.15,2021/04/23,16:00 EDT,-0.5400009,28.7,28.7,28.05,271996,,,,,,,
FEDX,28.9867,2021/04/23,10:55 EDT,0.080099106,28.9,28.9867,28.9,174,,,,,,,
NOK,4.2,2021/04/23,16:00 EDT,0.03999996,4.16,4.2,4.12,23884206,,,,,,,
CSV,37.92,2021/04/23,16:00 EDT,0.22999954,38.34,38.99,37.77,103826,,,,,,,
TSIA,10.28,2021/04/23,16:00 EDT,0.14999962,10.08,10.34,10.08,794603,,,,,,,
ABX.TO,27.71,2021/04/23,16:00 EDT,-0.2800007,28.19,28.25,27.67,2738564,,,,,,,
PYPL,266.03,2021/04/23,16:00 EDT,3.7600098,260.97,267.79,260.97,5674014,,,,,,,
DOGE-CAD,0.3399297,2021/04/24,08:29 BST,0.08345273,0.3139963,0.35285446,0.28869438,15445324800,,,,,,,
PANW,358.42,2021/04/23,16:00 EDT,5.610016,355.51,359.62,353.15,781931,,,,,,,
VZ,57.3,2021/04/23,16:00 EDT,0.020000458,57.13,57.47,56.78,18004480,,,,,,,
BTC-USD,49940.547,2021/04/24,08:29 BST,1160.1133,50973.105,50973.105,49530.535,64445538304,,,,,,,
QS,36.0,2021/04/23,16:00 EDT,1.8499985,34.54,36.78,34.06,9181706,,,,,,,
NVDA,610.61,2021/04/23,16:00 EDT,16.599976,597.375,613.395,596.45,5694305,,,,,,,
GIS,61.26,2021/04/23,16:00 EDT,-0.77,61.86,62.11,61.12,3117553,,,,,,,
V,230.0,2021/04/23,16:00 EDT,2.42999,228.61,231.82,227.76,5345445,,,,,,,
MVIS,17.97,2021/04/23,16:00 EDT,4.829999,13.94,19.14,13.55,117972359,,,,,,,
AKAM,107.01,2021/04/23,16:00 EDT,0.6500015,105.68,108.02,105.2725,2218359,,,,,,,
AES,28.3,2021/04/23,16:00 EDT,-0.0200005,28.23,28.49,28.22,3297148,,,,,,,
BAC,39.18,2021/04/23,16:00 EDT,0.82,38.32,39.34,38.22,46838755,,,,,,,
SAII,10.01,2021/04/23,16:00 EDT,0.010000229,10.0,10.045,9.99,87617,,,,,,,
MO,47.39,2021/04/23,16:04 EDT,0.8899994,46.48,47.51,46.45,9044819,,,,,,,
CRM,233.51,2021/04/23,16:00 EDT,2.15999,232.94,235.49,232.395,5448503,,,,,,,
ETH-CAD,2845.9019,2021/04/24,08:29 BST,120.42676,2940.706,2940.706,2793.53,51361656832,,,,,,,
WORK,42.56,2021/04/23,16:00 EDT,0.15000153,42.45,42.78,42.43,3228312,,,,,,,
BCE.TO,58.13,2021/04/23,16:00 EDT,-0.049999237,58.15,58.225,57.81,2843090,,,,,,,
SJR-B.TO,34.64,2021/04/23,16:00 EDT,-0.010002136,34.61,34.85,34.54,1567778,,,,,,,
BTC-CAD,62304.58,2021/04/24,08:29 BST,1109.9727,63592.773,63592.773,61793.06,80400637952,,,,,,,
JNJ,165.52,2021/04/23,16:00 EDT,0.340012,164.53,166.06,163.9996,6033245,,,,,,,
UPS,178.96,2021/04/23,16:04 EDT,1.4500122,177.85,180.3099,177.33,2407018,,,,,,,
BNS.TO,78.0,2021/04/23,16:00 EDT,0.48999786,77.6,78.08,77.33,4838801,,,,,,,
CWB.TO,33.31,2021/04/23,16:00 EDT,0.3199997,33.0,33.35,32.89,226818,,,,,,,
CU.TO,34.53,2021/04/23,16:00 EDT,-0.05000305,34.55,34.65,34.35,193688,,,,,,,
GMHIU,19.51,2020/12/02,15:55 EST,0.030000687,16.8,20.0,15.49,43256,,,,,,,
BABA,232.08,2021/04/23,16:00 EDT,2.7299957,230.65,233.0,230.51,8965976,,,,,,,
NFLX,505.55,2021/04/23,16:00 EDT,-3.230011,509.01,509.56,500.805,7314659,,,,,,,
BTCC-B.TO,9.48,2021/04/23,15:59 EDT,-0.4100008,9.19,9.49,9.05,3115607,,,,,,,
ADA-USD,1.1661335,2021/04/24,08:28 BST,0.15044892,1.1530625,1.1905601,1.1100467,4773497856,,,,,,,
AZN,52.26,2021/04/23,16:00 EDT,-0.45000076,52.74,52.76,52.155,6560601,,,,,,,
ILMN,414.97,2021/04/23,16:00 EDT,6.549988,410.93,416.6452,410.04,772333,,,,,,,
T.TO,25.79,2021/04/23,16:00 EDT,0.020000458,25.79,25.85,25.705,1262126,,,,,,,
XMR-CAD,448.03015,2021/04/24,08:29 BST,50.00299,440.09164,461.46625,423.45087,851253632,,,,,,,
PFE,38.66,2021/04/23,16:02 EDT,0.020000458,38.63,38.83,38.43,24360842,,,,,,,
CCA.TO,118.29,2021/04/23,16:00 EDT,0.09000397,118.98,119.39,117.92,34235,,,,,,,
SQ,246.43,2021/04/23,16:00 EDT,1.3199921,243.39,247.5703,240.3401,8459436,,,,,,,
CLSK,19.91,2021/04/23,16:00 EDT,1.4899998,18.09,20.19,18.05,1552662,,,,,,,
DIS,183.02,2021/04/23,16:02 EDT,0.26000977,182.35,183.895,181.96,5882021,,,,,,,
GSAH,10.43,2021/04/23,16:00 EDT,-0.019999504,10.38,10.5,10.32,725722,,,,,,,
DDD,22.18,2021/04/23,16:00 EDT,0.6000004,21.87,22.63,21.25,2443528,,,,,,,
RCI-B.TO,61.07,2021/04/23,16:00 EDT,-0.670002,61.42,61.67,60.93,1052116,,,,,,,
BYND,131.42,2021/04/23,16:00 EDT,-1.4100037,133.04,134.88,130.9,1777732,,,,,,,
BLX,14.65,2021/04/23,16:00 EDT,0.069999695,14.56,14.75,14.55,53608,,,,,,,
SNAP,61.3,2021/04/23,16:00 EDT,4.25,62.01,63.2,57.32,104476826,,,,,,,
FDX,277.74,2021/04/23,16:00 EDT,1.19998,278.52,279.1905,276.97,1313752,,,,,,,
U,102.51,2021/04/23,16:00 EDT,0.6100006,102.0,104.0699,101.8,1457416,,,,,,,
BIOL,0.7491,2021/04/23,16:00 EDT,0.0055000186,0.74,0.77,0.74,3457394,,,,,,,
TNXP,1.04,2021/04/23,16:00 EDT,0.00999999,1.02,1.05,1.01,7083697,,,,,,,
DND.TO,40.7,2021/04/23,16:00 EDT,0.9300003,40.17,41.05,39.43,179658,,,,,,,
AACQ,10.02,2021/04/23,16:00 EDT,0.040000916,9.98,10.04,9.97,555165,,,,,,,
