,Ticker,price,marketCap,numberOfShares,sizing
MFC,MFC,21.3,41397186560.0,1943529885,Large
POW.TO,POW.TO,34.86,23458654208.0,672939019,Large
SFT,SFT,7.45,602072512.0,80815102,Small
ABNB,ABNB,174.25,101651169280.0,583363956,Large
WMT,WMT,139.9,398425391104.0,2847929886,Mega
AMD,AMD,82.76,99124142080.0,1197730088,Large
SNPS,SNPS,251.45,38985814016.0,155044001,Large
TCEHY,TCEHY,81.8,761205489664.0,9305690583,Mega
TWTR,TWTR,67.02,56040644608.0,836177926,Large
NTLA,NTLA,78.29,4949047808.0,63214303,Mid
TXG,TXG,193.95,20396558336.0,105164003,Large
NVTA,NVTA,36.8,7265092608.0,197420995,Mid
CRSP,CRSP,126.55,9472735232.0,74853696,Mid
EXAS,EXAS,133.96,22439104512.0,167506006,Large
TWLO,TWLO,384.64,64946466816.0,168850007,Large
BIDU,BIDU,220.94,74368401408.0,336599988,Large
SPOT,SPOT,284.11,53501321216.0,188311996,Large
ZM,ZM,336.88,94799044608.0,281403006,Large
ROKU,ROKU,356.87,46688944128.0,130828997,Large
DOCU,DOCU,224.84,43284172800.0,192510998,Large
UI,UI,288.87,18144993280.0,62813699,Large
W,W,308.18,33033814016.0,107189999,Large
T,T,31.4,215213080576.0,6853919764,Mega
TGT,TGT,206.01,103319576576.0,501526997,Large
SPG,SPG,116.92,39028830208.0,333807990,Large
JPM,JPM,150.19,464419028992.0,3092210061,Mega
RDFN,RDFN,65.64,6759016448.0,102971000,Mid
GOOGL,GOOGL,2299.93,1540812832768.0,669939012,Mega
GOOG,GOOG,2315.3,1540813619200.0,665491996,Mega
Z,Z,137.0,33752827904.0,246371007,Large
GBTC,GBTC,42.385,7449163264.0,175749989,Mid
MARA,MARA,32.3,3451255040.0,106850001,Mid
HIVE.V,HIVE.V,3.55,1408050688.0,396633997,Small
COIN,COIN,291.6,57646989312.0,197692007,Large
GLXY.TO,GLXY.TO,32.7,3356818688.0,102655006,Mid
BTBT,BTBT,13.16,637380928.0,48433201,Small
AMC,AMC,10.16,4477440512.0,440692964,Mid
AZFL,AZFL,0.0046,62311604.0,13546000870,Micro
DNN,DNN,0.9954,800483712.0,804182954,Small
VPER,VPER,0.01705,101086888.0,5928849736,Micro
BB,BB,8.85,4978505728.0,562543020,Mid
GM,GM,57.53,84110008320.0,1462019960,Large
TDC,TDC,52.18,4513100288.0,86490998,Mid
TSLA,TSLA,729.4,723882803200.0,992435979,Mega
