,Ticker,averageDailyVolume3Month,averageDailyVolume10Day,fiftyDayAverage,fiftyTwoWeekRange_low,fiftyTwoWeekRange_high,price,marketCap,numberOfShares,sizing
SFT,SFT,1705338.0,704250.0,8.981212,6.4,14.91,7.61,639912000.0,84088305,Small
ABNB,ABNB,5534775.0,3353250.0,191.27515,121.5,219.94,178.69,108721250304.0,608435001,Large
WMT,WMT,9506341.0,8958675.0,133.67546,117.01,153.66,140.61,396108234752.0,2817070157,Mega
AMD,AMD,43577258.0,40029225.0,81.51879,46.68,99.23,82.15,99780214784.0,1214610040,Large
SNPS,SNPS,959001.0,1086275.0,243.21878,133.27,300.91,260.77,39734304768.0,152372991,Large
TCEHY,TCEHY,3196725.0,2741850.0,85.70091,49.0,99.4,81.0,780595363840.0,9636979800,Mega
TWTR,TWTR,20798377.0,16077150.0,68.35879,25.06,80.75,70.12,56002883584.0,798672042,Large
NTLA,NTLA,1558237.0,1899900.0,64.27591,11.76,92.0,70.45,4771317760.0,67726299,Mid
TXG,TXG,787505.0,699800.0,171.69606,58.11,201.7,194.1,21108957184.0,108752999,Large
NVTA,NVTA,4776943.0,5003200.0,40.604244,12.42,61.59,37.64,7402094592.0,196655010,Mid
CRSP,CRSP,2344011.0,1497150.0,127.72667,39.25,220.2,118.56,8942850048.0,75428897,Mid
EXAS,EXAS,1688779.0,1771225.0,131.7997,61.05,159.54,130.04,21988851712.0,169092985,Large
TWLO,TWLO,2278812.0,2108975.0,369.47122,84.02,457.3,385.24,65674944512.0,170477999,Large
BIDU,BIDU,13590538.0,34093575.0,268.82455,90.94,354.82,213.56,71884292096.0,336599982,Large
SPOT,SPOT,1567666.0,1238250.0,293.9091,123.552,387.44,292.02,55715954688.0,190794996,Large
ZM,ZM,4688083.0,2876400.0,353.38696,109.571,588.84,329.95,96910934016.0,293713999,Large
ROKU,ROKU,4493753.0,3721125.0,370.8903,86.56,486.72,376.52,48353452032.0,128422002,Large
DOCU,DOCU,3339516.0,2150000.0,219.97697,85.84,290.23,231.93,45123371008.0,194555991,Large
UI,UI,135000.0,373825.0,335.4606,148.28,401.81,287.37,18049478656.0,62809196,Large
W,W,2114163.0,1633825.0,307.88333,72.5,369.0,321.64,33359216640.0,103716007,Large
T,T,42021930.0,37544475.0,29.574242,26.35,33.24,29.95,213796880384.0,7138460113,Mega
TGT,TGT,4063668.0,3082175.0,185.67758,97.03,209.49,208.55,103986364416.0,498615989,Large
SPG,SPG,3886605.0,2695875.0,113.69242,47.25,121.92,117.12,38437494784.0,328188992,Large
JPM,JPM,15515756.0,16011900.0,151.78091,82.4,161.69,153.3,464054419456.0,3027099931,Mega
RDFN,RDFN,1721948.0,1639950.0,74.0903,16.14,98.445,66.03,6814691840.0,103205995,Mid
GOOGL,GOOGL,1839788.0,1703175.0,2057.16,1177.25,2294.24,2282.75,1543801012224.0,676290006,Mega
GOOG,GOOG,1553196.0,1356325.0,2069.1472,1182.23,2306.44,2297.76,1543802978304.0,671873032,Mega
Z,Z,3788283.0,3849375.0,148.53061,33.08,208.11,134.61,32498219008.0,241424998,Large
GBTC,GBTC,12233312.0,6578225.0,48.77103,7.03,58.22,51.37,9028277248.0,175749995,Mid
MARA,MARA,32841076.0,23616950.0,38.313637,0.38,51.76,38.93,3846463232.0,98804604,Mid
HIVE.V,HIVE.V,5861932.0,2802800.0,4.9654546,0.2,7.25,4.38,1611840000.0,368000000,Small
GLXY.TO,GLXY.TO,997203.0,825075.0,19.798182,2.06,35.95,33.89,3135743488.0,92527102,Mid
XRP-CAD,XRP-CAD,9049750737.0,5620538847.0,0.6352869,0.223869,1.9046345,1.8817214,85686681600.0,45536327322,Large
BTBT,BTBT,3610920.0,1460325.0,16.667576,0.69,33.0,13.33,644117568.0,48320898,Small
AMC,AMC,172791425.0,45914350.0,9.638485,1.91,20.36,9.33,4199955456.0,450155997,Mid
XLM-CAD,XLM-CAD,2437192665.0,1591997925.0,0.5294003,0.064101,0.762957,0.69993913,16024157184.0,22893643886,Large
AZFL,AZFL,417883858.0,206174440.0,0.003702857,4e-05,0.0088,0.005,67730000.0,13546000000,Micro
DNN,DNN,32389788.0,20136000.0,1.1330303,0.27,1.81,1.06,840124160.0,792569962,Small
EOS-CAD,EOS-CAD,4738053825.0,5066515769.0,5.381364,2.614107,9.339647,9.182321,8744578048.0,952327636,Mid
VPER,VPER,238137445.0,106042396.0,0.019176176,1e-05,0.0731,0.0211,125098728.0,5928849668,Micro
BB,BB,51242661.0,19670675.0,10.431212,3.59,28.77,8.7,4895255040.0,562672993,Mid
GM,GM,23740035.0,18552525.0,55.24394,20.12,62.24,58.71,84595818496.0,1440909870,Large
TDC,TDC,2430774.0,787450.0,42.22909,17.99,59.58,39.59,4336015360.0,109522995,Mid
TSLA,TSLA,33303938.0,34176275.0,680.13153,106.468,900.4,739.78,710080856064.0,959854086,Mega
MGM,MGM,9418177.0,7337150.0,38.07485,11.77,42.04,40.26,19928860672.0,495003991,Large
EXPR,EXPR,29736283.0,5064650.0,3.610606,0.57,13.97,3.17,205967584.0,64974001,Micro
KMPH,KMPH,4414841.0,1116400.0,10.096061,1.936,22.08,8.6,244036192.0,28376301,Micro
CGX.TO,CGX.TO,1160898.0,733950.0,13.502121,4.32,16.93,12.99,822698240.0,63333198,Small
WBA,WBA,5937729.0,8770525.0,50.71303,33.36,56.78,53.3,46072197120.0,864393942,Large
FRPT,FRPT,353417.0,410400.0,152.40485,62.13,173.52,172.49,7441080832.0,43139201,Mid
